"","Gender","Age","Department","Response","Satisfaction","Statement"
"72","Female","36-45","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"73","Female","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"74","Female","46-55","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"75","Male","46-55","Agriculture","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"76","Female","36-45","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"77","Female","46-55","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"78","Male","36-45","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"79","Male","36-45","Devolution","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"80","Male","36-45","Education","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"81","Female","Above 55","Water","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"82","Female","Below 35","Devolution","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"83","Male","Below 35","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"84","Female","Below 35","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"85","Female","46-55","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"86","Female","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"87","Male","Below 35","Agriculture","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"88","Male","Below 35","Agriculture","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"89","Female","Below 35","Finance","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"90","Female","Below 35","Health","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"91","Male","36-45","Health","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"92","Female","Below 35","Agriculture","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"93","Female","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"94","Female","36-45","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"95","Female","Below 35","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"96","Male","36-45","Transport","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"97","Male","46-55","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"98","Female","36-45","Agriculture","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"99","Female","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"100","Male","46-55","OOG","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"101","Female","Below 35","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"102","Male","46-55","Education","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"103","Male","Below 35","Lands","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"104","Female","36-45","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"105","Male","Below 35","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"106","Female","Below 35","Health","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"107","Male","36-45","Finance","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"108","Female","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"109","Female","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"110","Male","36-45","Health","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"111","Female","36-45","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"112","Female","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"113","Female","Below 35","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"114","Female","Above 55","Agriculture","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"115","Female","36-45","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"116","Male","36-45","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"117","Male","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"118","Male","36-45","Health","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"119","Male","Below 35","Trade","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"120","Female","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"121","Female","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"122","Male","46-55","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"123","Female","46-55","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"124","Female","36-45","Education","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"125","Female","46-55","Devolution","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"126","Male","46-55","Transport","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"127","Male","Above 55","Agriculture","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"128","Female","36-45","Agriculture","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"129","Female","Below 35","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"130","Male","Below 35","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"131","Male","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"132","Female","Below 35","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"133","Female","36-45","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"134","Female","36-45","Education","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"135","Male","Below 35","Education","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"136","Female","Below 35","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"137","Female","Above 55","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"138","Female","Below 35","Health","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"139","Male","Below 35","Finance","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"140","Male","Below 35","Finance","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"141","Male","36-45","Devolution","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"142","Male","Above 55","Finance","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"143","Male","46-55","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"144","Female","Below 35","OOG","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"145","Male","46-55","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"146","Female","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"147","Male","Below 35","Health","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"148","Male","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"149","Female","36-45","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"150","Male","46-55","Devolution","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"151","Female","Below 35","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"152","Male","36-45","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"153","Male","Below 35","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"154","Male","Below 35","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"155","Male","36-45","Devolution","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"156","Male","36-45","CPSB","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"157","Female","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"158","Male","Above 55","Agriculture","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"159","Female","36-45","Devolution","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"160","Female","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"161","Male","36-45","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"162","Male","Below 35","Water","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"163","Male","36-45","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"164","Male","46-55","Finance","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"165","Male","36-45","Finance","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"166","Male","Below 35","Education","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"167","Female","Below 35","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"168","Male","36-45","Trade","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"169","Male","Below 35","Transport","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"170","Male","46-55","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"171","Female","46-55","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"172","Female","36-45","Finance","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"173","Female","Below 35","Transport","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"174","Male","Below 35","Transport","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"175","Female","Below 35","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"176","Female","46-55","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"177","Female","36-45","Agriculture","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"178","Male","Below 35","Transport","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"179","Female","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"180","Female","Below 35","Water","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"181","Female","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"182","Male","36-45","Health","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"183","Female","36-45","Health","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"184","Male","36-45","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"185","Female","Below 35",NA,"Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"186","Female","46-55","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"187","Female","36-45",NA,"Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"188","Female","Below 35","Health","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"189","Male","36-45","Lands","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"190","Male","36-45","Finance","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"191","Female","36-45","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"192","Female","46-55","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"193","Female","36-45","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"194","Male","36-45","Health","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"195","Female","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"196","Female","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"197","Male","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"198","Male","Below 35","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"199","Female","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"200","Female","Below 35","Education","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"201","Male","36-45","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"202","Male","36-45","Devolution","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"203","Female","36-45","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"204","Female","36-45","Health","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"205","Male","46-55","Devolution","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"206","Female","46-55","Education","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"207","Female","Below 35","Devolution","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"208","Female","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"209","Female","46-55","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"210","Female","Below 35","Health","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"211","Male","Below 35","Agriculture","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"212","Female","Below 35","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"213","Male","36-45","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"214","Female","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"215","Female","46-55","Trade","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"216","Male","Below 35","Health","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"217","Female","46-55","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"218","Female","36-45","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"219","Female","Below 35","OOG","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"220","Female","Below 35","Devolution","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"221","Female","46-55","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"222","Female","46-55","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"223","Male","46-55","Agriculture","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"224","Male","36-45","Devolution","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"225","Female","46-55","Finance","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"226","Female","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"227","Female","46-55",NA,"Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"228","Male","Above 55","Water","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"229","Male","Below 35","Lands","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"230","Female","Below 35","Education","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"231","Male","36-45","Education","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"232","Female","Below 35","Health","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"233","Female","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"234","Male","Below 35","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"235","Male","Above 55","Trade","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"236","Male","46-55","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"237","Female","Below 35","Health","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"238","Male","36-45","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"239","Female","Below 35","Finance","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"240","Male","46-55","Agriculture","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"241","Male","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"242","Male","Below 35","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"243","Male","36-45","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"244","Female","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"245","Female","Below 35","Health","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"246","Female","46-55","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"247","Female","46-55","Agriculture","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"248","Female","46-55","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"249","Male","46-55","Finance","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"250","Male","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"251","Male","46-55","Agriculture","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"252","Female","Below 35","Education","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"253","Male","36-45","Transport","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"254","Male","36-45","Education","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"255","Female","36-45","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"256","Female","36-45","Health","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"257","Male","Below 35","YGSS","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"258","Male","46-55","Education","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"259","Female","36-45","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"260","Female","36-45","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"261","Male","46-55","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"262","Male","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"263","Female","36-45","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"264","Male","46-55","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"265","Male","Above 55","Water","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"266","Male","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"267","Male","Below 35","Agriculture","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"268","Male","46-55","Education","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"269","Female","46-55","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"270","Male","36-45","Agriculture","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"271","Female","Below 35","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"272","Male","Below 35","Health","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"273","Female","Below 35","Health","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"274","Male","Below 35","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"275","Female","46-55","Health","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"276","Female","36-45","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"277","Male","Below 35","Transport","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"278","Female","36-45","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"279","Female","46-55","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"280","Male","Below 35","Finance","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"281","Male","Below 35","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"282","Male","Above 55","Finance","Strongly Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"283","Female","36-45","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"284","Female","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"285","Female","36-45","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"286","Female","Below 35","Education","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"287","Male","Above 55","Education","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"288","Female","Below 35","Education","Neutral","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"289","Female","Below 35","Health","Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"290","Female","36-45","Health","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"291","Male","36-45","Education","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"292","Female","36-45","Education","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"293","Male","36-45","trade","Agree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
"294","Male","46-55","Health","Strongly Disagree","Opportunities for growth","I have adequate opportunities for professional growth in this County."
